Category: All categories

Country,skin_brightening: (2019)
Zambia,100
Nigeria,63
Uganda,62
Zimbabwe,60
Bangladesh,58
Ghana,57
South Africa,54
Singapore,53
Trinidad & Tobago,52
Pakistan,46
Malaysia,45
United Arab Emirates,43
India,37
Bahrain,34
Sri Lanka,34
Australia,32
Myanmar (Burma),32
Indonesia,29
New Zealand,28
Kenya,28
Philippines,28
Canada,28
United States,26
United Kingdom,25
Tanzania,25
Oman,23
Hong Kong,19
Nepal,19
Ireland,18
Qatar,18
Vietnam,15
Thailand,14
Puerto Rico,13
Lebanon,12
Norway,11
Jordan,11
Saudi Arabia,9
Sweden,8
South Korea,8
Kazakhstan,7
Denmark,7
Netherlands,6
Dominican Republic,6
Morocco,5
Egypt,5
Switzerland,5
Israel,5
Russia,5
Mexico,4
Belarus,4
Belgium,4
Ukraine,4
Taiwan,3
Czechia,3
Finland,3
Portugal,3
Greece,3
Germany,3
Peru,3
Austria,3
Poland,2
Spain,2
Türkiye,2
Chile,2
France,2
Italy,2
Colombia,2
Iran,1
Brazil,1
Argentina,1
Japan,1
Afghanistan,
Aruba,
Fiji,
Falkland Islands (Islas Malvinas),
Estonia,
Faroe Islands,
Micronesia,
Gabon,
Western Sahara,
Georgia,
Guernsey,
Eritrea,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Ecuador,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Algeria,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Hungary,
Dominica,
Isle of Man,
Djibouti,
British Indian Ocean Territory,
Cyprus,
Cayman Islands,
Iraq,
Iceland,
Christmas Island,
Curaçao,
Jamaica,
Jersey,
Cuba,
Costa Rica,
Cape Verde,
Comoros,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Cook Islands,
Kuwait,
Congo - Brazzaville,
Congo - Kinshasa,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Cameroon,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Côte d’Ivoire,
Monaco,
Moldova,
Madagascar,
Maldives,
China,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Cocos (Keeling) Islands,
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Central African Republic,
Mayotte,
Namibia,
New Caledonia,
Ethiopia,
Norfolk Island,
Botswana,
Nicaragua,
Niue,
Bouvet Island,
Bhutan,
Brunei,
Nauru,
Barbados,
Bolivia,
Bermuda,
Panama,
Pitcairn Islands,
Belize,
St. Barthélemy,
Palau,
Papua New Guinea,
Bosnia & Herzegovina,
Bahamas,
North Korea,
Bulgaria,
Paraguay,
Palestine,
French Polynesia,
Burkina Faso,
Réunion,
Romania,
Caribbean Netherlands,
Rwanda,
Benin,
Sudan,
Senegal,
Burundi,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Azerbaijan,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Antigua & Barbuda,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
French Southern Territories,
Tunisia,
Antarctica,
Tuvalu,
American Samoa,
Armenia,
Andorra,
Albania,
U.S. Outlying Islands,
Uruguay,
Åland Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Laos,
Niger,
